Designator,Comment,Description,Footprint,LibRef,Quantity,ADGPN,Supplier1Item,Supplier1,Manufacturer,Part Type
"R41","180R 1/4W","Resistor","AXIAL-0.4","Res2","1","","180QBK-ND","DIGI","Yageo","CFR-25JB-52-180R"
"R51, R52","1206,R10K","1206, R10K, 1/4W, 1%","R1206","1206,R10K","2","7526100240","311-10.0KFRCT-ND","DIGI","Yageo","RC1206FR-0710KL"
"R61, R62","0402,R10K","0402, R10K, 1/16W, 1%, RC0402FR-0710KL, Yageo","R0402","0402,R10K","2","7542100200","P10.0KLTR","DIGI","Yageo","RC0402FR-0710KL"
"R71","10K 1/4W","RES 1.8K OHM 1/4W 5% AXIAL","AXIAL-0.4","Res2","1","","10KQBK-ND","DIGI","Yageo","CFR-25JB-52-10K"
"SW31, SW32, SW33, SW34","EVQ-PF106K","","SW_6x6_RA","","4","","P10883S-ND","DIGI","Panasonic Electronic Components","EVQ-PF106K"
"SW81","EN12-VS11AF18","","ROT_ENC_RA_12x12","ROT_ENC_SW","1","","987-1198-ND","DIGI","TT Electronics/BI","EN12-VS11AF18"
"U11","NUCLEO-F031K6","","","NUCLEO32","1","","497-15979-ND","DIGI","STMicroelectronics","NUCLEO-F031K6"
"U21, U22","MAX6971ANG+","","DIP24-Narrow","MAX6971","2","","MAX6971ANG+-ND","DIGI","Maxim","MAX6971ANG+"
"U23","SN74AHC595N","","dip16","74HCT595","1","","296-4619-5-ND","DIGI","TI","SN74AHC595N"
"U24","TBD62783APG","","","TBD62xxx","1","","TBD62783APG-ND","DIGI","Toshiba Semiconductor and Storage","TBD62783APG"
"U25","VXO7803-500","","VXO7803-500","VXO78-500","1","","102-4248-ND","DIGI","CUI Inc.","VXO7803-500"
"U51","PCF85263AT/AJ","","SO8_HANDSOLDER","PCF85263AT","1","","568-12405-1-ND","DIGI","NXP","PCF85263AT/AJ"
"U61","LM75ADP,118","SENSOR DIGITAL -55C-125C 8TSSOP","SOT505-1_HANDSOLDER","LM75A","1","","568-4227-1-ND","DIGI","NXP","LM75ADP,118"
"Y51","ABS25-32.768KHZ-6-T","Crystal Oscillator","XTAL_8x3.8MM_HANDSOLDER","XTAL","1","","535-10240-1-ND","DIGI","Abracon","ABS25-32.768KHZ-6-T"
